HuZom_Id,Human,Zone,Sex,Age,Num_Fam,Ammo,Bounty
1,0,3,male,22,1,5770,7.25
2,1,1,female,38,1,9379,71.2833
3,1,3,female,26,0,6031,7.925
4,1,1,female,35,1,3231,53.1
5,0,3,male,35,0,6301,8.05
6,0,3,male,24,0,8418,8.4583
7,0,1,male,54,0,1937,51.8625
8,0,3,male,2,4,3132,21.075
9,1,3,female,27,2,8190,11.1333
10,1,2,female,14,1,9825,30.0708
11,1,3,female,4,2,6433,16.7
12,1,1,female,58,0,3510,26.55
13,0,3,male,20,0,4308,8.05
14,0,3,male,39,6,6659,31.275
15,0,3,female,14,0,1020,7.8542
16,1,2,female,55,0,3910,16.0
17,0,3,male,2,5,7170,29.125
18,1,2,male,24,0,9512,13.0
19,0,3,female,31,1,9857,18.0
20,1,3,female,24,0,2523,7.225
21,0,2,male,35,0,3990,26.0
22,1,2,male,34,0,4563,13.0
23,1,3,female,15,0,9775,8.0292
24,1,1,male,28,0,3353,35.5
25,0,3,female,8,4,3121,21.075
26,1,3,female,38,6,5142,31.3875
27,0,3,male,24,0,8809,7.225
28,0,1,male,19,5,4221,263.0
29,1,3,female,24,0,4235,7.8792
30,0,3,male,24,0,6235,7.8958
31,0,1,male,40,0,5398,27.7208
32,1,1,female,24,1,9086,146.5208
33,1,3,female,24,0,2610,7.75
34,0,2,male,66,0,4979,10.5
35,0,1,male,28,1,6311,82.1708
36,0,1,male,42,1,2475,52.0
37,1,3,male,24,0,6494,7.2292
38,0,3,male,21,0,9876,8.05
39,0,3,female,18,2,8094,18.0
40,1,3,female,14,1,7603,11.2417
41,0,3,female,40,1,5203,9.475
42,0,2,female,27,1,5845,21.0
43,0,3,male,24,0,2545,7.8958
44,1,2,female,3,3,4397,41.5792
45,1,3,female,19,0,2412,7.8792
46,0,3,male,24,0,2044,8.05
47,0,3,male,24,1,9945,15.5
48,1,3,female,24,0,9376,7.75
49,0,3,male,24,2,1387,21.6792
50,0,3,female,18,1,2800,17.8
51,0,3,male,7,5,6087,39.6875
52,0,3,male,21,0,1335,7.8
53,1,1,female,49,1,6553,76.7292
54,1,2,female,29,1,1904,26.0
55,0,1,male,65,1,6201,61.9792
56,1,1,male,24,0,1226,35.5
57,1,2,female,21,0,6907,10.5
58,0,3,male,28,0,5177,7.2292
59,1,2,female,5,3,9473,27.75
60,0,3,male,11,7,3138,46.9
61,0,3,male,22,0,9298,7.2292
62,1,1,female,38,0,5958,80.0
63,0,1,male,45,1,9921,83.475
64,0,3,male,4,5,8464,27.9
65,0,1,male,24,0,3880,27.7208
66,1,3,male,24,2,5863,15.2458
67,1,2,female,29,0,5632,10.5
68,0,3,male,19,0,2276,8.1583
69,1,3,female,17,6,7911,7.925
70,0,3,male,26,2,6931,8.6625
71,0,2,male,32,0,4346,10.5
72,0,3,female,16,7,8524,46.9
73,0,2,male,21,0,6824,73.5
74,0,3,male,26,1,2616,14.4542
75,1,3,male,32,0,1897,56.4958
76,0,3,male,25,0,6545,7.65
77,0,3,male,24,0,5932,7.8958
78,0,3,male,24,0,3979,8.05
79,1,2,male,0,2,9467,29.0
80,1,3,female,30,0,3243,12.475
81,0,3,male,22,0,5262,9.0
82,1,3,male,29,0,5254,9.5
83,1,3,female,24,0,5687,7.7875
84,0,1,male,28,0,7235,47.1
85,1,2,female,17,0,5044,10.5
86,1,3,female,33,3,9456,15.85
87,0,3,male,16,4,2144,34.375
88,0,3,male,24,0,1249,8.05
89,1,1,female,23,5,8067,263.0
90,0,3,male,24,0,1297,8.05
91,0,3,male,29,0,1426,8.05
92,0,3,male,20,0,5704,7.8542
93,0,1,male,46,1,5031,61.175
94,0,3,male,26,3,6412,20.575
95,0,3,male,59,0,8682,7.25
96,0,3,male,24,0,9723,8.05
97,0,1,male,71,0,8212,34.6542
98,1,1,male,23,1,1596,63.3583
99,1,2,female,34,1,4259,23.0
100,0,2,male,34,1,4474,26.0
101,0,3,female,28,0,2114,7.8958
102,0,3,male,24,0,3688,7.8958
103,0,1,male,21,1,4058,77.2875
104,0,3,male,33,0,7663,8.6542
105,0,3,male,37,2,8119,7.925
106,0,3,male,28,0,1829,7.8958
107,1,3,female,21,0,1830,7.65
108,1,3,male,24,0,1320,7.775
109,0,3,male,38,0,6030,7.8958
110,1,3,female,24,1,4451,24.15
111,0,1,male,47,0,8134,52.0
112,0,3,female,14,1,9209,14.4542
113,0,3,male,22,0,4677,8.05
114,0,3,female,20,1,4457,9.825
115,0,3,female,17,0,1158,14.4583
116,0,3,male,21,0,1752,7.925
117,0,3,male,70,0,5406,7.75
118,0,2,male,29,1,4837,21.0
119,0,1,male,24,1,1114,247.5208
120,0,3,female,2,6,5441,31.275
121,0,2,male,21,2,9044,73.5
122,0,3,male,24,0,3032,8.05
123,0,2,male,32,1,4036,30.0708
124,1,2,female,32,0,5703,13.0
125,0,1,male,54,1,2393,77.2875
126,1,3,male,12,1,8345,11.2417
127,0,3,male,24,0,3846,7.75
128,1,3,male,24,0,2851,7.1417
129,1,3,female,24,2,4411,22.3583
130,0,3,male,45,0,8772,6.975
131,0,3,male,33,0,7419,7.8958
132,0,3,male,20,0,3900,7.05
133,0,3,female,47,1,4063,14.5
134,1,2,female,29,1,8561,26.0
135,0,2,male,25,0,5192,13.0
136,0,2,male,23,0,8238,15.0458
137,1,1,female,19,2,6468,26.2833
138,0,1,male,37,1,2089,53.1
139,0,3,male,16,0,7653,9.2167
140,0,1,male,24,0,2914,79.2
141,0,3,female,24,2,1454,15.2458
142,1,3,female,22,0,6410,7.75
143,1,3,female,24,1,7626,15.85
144,0,3,male,19,0,3675,6.75
145,0,2,male,18,0,1322,11.5
146,0,2,male,19,2,1805,36.75
147,1,3,male,27,0,8951,7.7958
148,0,3,female,9,4,9585,34.375
149,0,2,male,36,2,6595,26.0
150,0,2,male,42,0,8342,13.0
151,0,2,male,51,0,2041,12.525
152,1,1,female,22,1,3746,66.6
153,0,3,male,55,0,5175,8.05
154,0,3,male,40,2,8510,14.5
155,0,3,male,24,0,7708,7.3125
156,0,1,male,51,1,5298,61.3792
157,1,3,female,16,0,6618,7.7333
158,0,3,male,30,0,5948,8.05
159,0,3,male,24,0,6792,8.6625
160,0,3,male,24,10,9223,69.55
161,0,3,male,44,1,2393,16.1
162,1,2,female,40,0,3530,15.75
163,0,3,male,26,0,7126,7.775
164,0,3,male,17,0,9627,8.6625
165,0,3,male,1,5,8600,39.6875
166,1,3,male,9,2,2313,20.525
167,1,1,female,24,1,8455,55.0
168,0,3,female,45,5,7958,27.9
169,0,1,male,24,0,9796,25.925
170,0,3,male,28,0,3564,56.4958
171,0,1,male,61,0,6994,33.5
172,0,3,male,4,5,2825,29.125
173,1,3,female,1,2,8207,11.1333
174,0,3,male,21,0,1148,7.925
175,0,1,male,56,0,2634,30.6958
176,0,3,male,18,2,8546,7.8542
177,0,3,male,24,4,8169,25.4667
178,0,1,female,50,0,2431,28.7125
179,0,2,male,30,0,7101,13.0
180,0,3,male,36,0,5428,0.0
181,0,3,female,24,10,7354,69.55
182,0,2,male,24,0,3395,15.05
183,0,3,male,9,6,3006,31.3875
184,1,2,male,1,3,1150,39.0
185,1,3,female,4,2,9588,22.025
186,0,1,male,24,0,8739,50.0
187,1,3,female,24,1,6194,15.5
188,1,1,male,45,0,5177,26.55
189,0,3,male,40,2,4507,15.5
190,0,3,male,36,0,8576,7.8958
191,1,2,female,32,0,5941,13.0
192,0,2,male,19,0,4498,13.0
193,1,3,female,19,1,8182,7.8542
194,1,2,male,3,2,3108,26.0
195,1,1,female,44,0,6839,27.7208
196,1,1,female,58,0,6492,146.5208
197,0,3,male,24,0,5701,7.75
198,0,3,male,42,1,4219,8.4042
199,1,3,female,24,0,4231,7.75
200,0,2,female,24,0,9451,13.0
201,0,3,male,28,0,1818,9.5
202,0,3,male,24,10,7437,69.55
203,0,3,male,34,0,8936,6.4958
204,0,3,male,45,0,5138,7.225
205,1,3,male,18,0,5046,8.05
206,0,3,female,2,1,4892,10.4625
207,0,3,male,32,1,2428,15.85
208,1,3,male,26,0,5265,18.7875
209,1,3,female,16,0,1735,7.75
210,1,1,male,40,0,3947,31.0
211,0,3,male,24,0,8094,7.05
212,1,2,female,35,0,2379,21.0
213,0,3,male,22,0,6240,7.25
214,0,2,male,30,0,8380,13.0
215,0,3,male,24,1,2455,7.75
216,1,1,female,31,1,7028,113.275
217,1,3,female,27,0,9188,7.925
218,0,2,male,42,1,9184,27.0
219,1,1,female,32,0,6860,76.2917
220,0,2,male,30,0,2587,10.5
221,1,3,male,16,0,6993,8.05
222,0,2,male,27,0,2447,13.0
223,0,3,male,51,0,9900,8.05
224,0,3,male,24,0,4340,7.8958
225,1,1,male,38,1,7255,90.0
226,0,3,male,22,0,8762,9.35
227,1,2,male,19,0,4732,10.5
228,0,3,male,20,0,8201,7.25
229,0,2,male,18,0,2675,13.0
230,0,3,female,24,4,8312,25.4667
231,1,1,female,35,1,4099,83.475
232,0,3,male,29,0,1292,7.775
233,0,2,male,59,0,8324,13.5
234,1,3,female,5,6,1754,31.3875
235,0,2,male,24,0,1091,10.5
236,0,3,female,24,0,6771,7.55
237,0,2,male,44,1,9120,26.0
238,1,2,female,8,2,9179,26.25
239,0,2,male,19,0,1582,10.5
240,0,2,male,33,0,2328,12.275
241,0,3,female,24,1,8404,14.4542
242,1,3,female,24,1,8165,15.5
243,0,2,male,29,0,3346,10.5
244,0,3,male,22,0,4157,7.125
245,0,3,male,30,0,3517,7.225
246,0,1,male,44,2,9629,90.0
247,0,3,female,25,0,7695,7.775
248,1,2,female,24,2,4111,14.5
