HuZom_Id,Age,Num_Fam,Ammo,Bounty,Human_1,Zone_2,Zone_3,Sex_male
1,22,1,5770,7.25,0,0,1,1
2,38,1,9379,71.2833,1,0,0,0
3,26,0,6031,7.925,1,0,1,0
4,35,1,3231,53.1,1,0,0,0
5,35,0,6301,8.05,0,0,1,1
6,24,0,8418,8.4583,0,0,1,1
7,54,0,1937,51.8625,0,0,0,1
8,2,4,3132,21.075,0,0,1,1
9,27,2,8190,11.1333,1,0,1,0
10,14,1,9825,30.0708,1,1,0,0
11,4,2,6433,16.7,1,0,1,0
12,58,0,3510,26.55,1,0,0,0
13,20,0,4308,8.05,0,0,1,1
14,39,6,6659,31.275,0,0,1,1
15,14,0,1020,7.8542,0,0,1,0
16,55,0,3910,16.0,1,1,0,0
17,2,5,7170,29.125,0,0,1,1
18,24,0,9512,13.0,1,1,0,1
19,31,1,9857,18.0,0,0,1,0
20,24,0,2523,7.225,1,0,1,0
21,35,0,3990,26.0,0,1,0,1
22,34,0,4563,13.0,1,1,0,1
23,15,0,9775,8.0292,1,0,1,0
24,28,0,3353,35.5,1,0,0,1
25,8,4,3121,21.075,0,0,1,0
26,38,6,5142,31.3875,1,0,1,0
27,24,0,8809,7.225,0,0,1,1
29,24,0,4235,7.8792,1,0,1,0
30,24,0,6235,7.8958,0,0,1,1
31,40,0,5398,27.7208,0,0,0,1
33,24,0,2610,7.75,1,0,1,0
34,66,0,4979,10.5,0,1,0,1
35,28,1,6311,82.1708,0,0,0,1
36,42,1,2475,52.0,0,0,0,1
37,24,0,6494,7.2292,1,0,1,1
38,21,0,9876,8.05,0,0,1,1
39,18,2,8094,18.0,0,0,1,0
40,14,1,7603,11.2417,1,0,1,0
41,40,1,5203,9.475,0,0,1,0
42,27,1,5845,21.0,0,1,0,0
43,24,0,2545,7.8958,0,0,1,1
44,3,3,4397,41.5792,1,1,0,0
45,19,0,2412,7.8792,1,0,1,0
46,24,0,2044,8.05,0,0,1,1
47,24,1,9945,15.5,0,0,1,1
48,24,0,9376,7.75,1,0,1,0
49,24,2,1387,21.6792,0,0,1,1
50,18,1,2800,17.8,0,0,1,0
51,7,5,6087,39.6875,0,0,1,1
52,21,0,1335,7.8,0,0,1,1
53,49,1,6553,76.7292,1,0,0,0
54,29,1,1904,26.0,1,1,0,0
55,65,1,6201,61.9792,0,0,0,1
56,24,0,1226,35.5,1,0,0,1
57,21,0,6907,10.5,1,1,0,0
58,28,0,5177,7.2292,0,0,1,1
59,5,3,9473,27.75,1,1,0,0
60,11,7,3138,46.9,0,0,1,1
61,22,0,9298,7.2292,0,0,1,1
62,38,0,5958,80.0,1,0,0,0
63,45,1,9921,83.475,0,0,0,1
64,4,5,8464,27.9,0,0,1,1
65,24,0,3880,27.7208,0,0,0,1
66,24,2,5863,15.2458,1,0,1,1
67,29,0,5632,10.5,1,1,0,0
68,19,0,2276,8.1583,0,0,1,1
69,17,6,7911,7.925,1,0,1,0
70,26,2,6931,8.6625,0,0,1,1
71,32,0,4346,10.5,0,1,0,1
72,16,7,8524,46.9,0,0,1,0
73,21,0,6824,73.5,0,1,0,1
74,26,1,2616,14.4542,0,0,1,1
75,32,0,1897,56.4958,1,0,1,1
76,25,0,6545,7.65,0,0,1,1
77,24,0,5932,7.8958,0,0,1,1
78,24,0,3979,8.05,0,0,1,1
79,0,2,9467,29.0,1,1,0,1
80,30,0,3243,12.475,1,0,1,0
81,22,0,5262,9.0,0,0,1,1
82,29,0,5254,9.5,1,0,1,1
83,24,0,5687,7.7875,1,0,1,0
84,28,0,7235,47.1,0,0,0,1
85,17,0,5044,10.5,1,1,0,0
86,33,3,9456,15.85,1,0,1,0
87,16,4,2144,34.375,0,0,1,1
88,24,0,1249,8.05,0,0,1,1
90,24,0,1297,8.05,0,0,1,1
91,29,0,1426,8.05,0,0,1,1
92,20,0,5704,7.8542,0,0,1,1
93,46,1,5031,61.175,0,0,0,1
94,26,3,6412,20.575,0,0,1,1
95,59,0,8682,7.25,0,0,1,1
96,24,0,9723,8.05,0,0,1,1
97,71,0,8212,34.6542,0,0,0,1
98,23,1,1596,63.3583,1,0,0,1
99,34,1,4259,23.0,1,1,0,0
100,34,1,4474,26.0,0,1,0,1
101,28,0,2114,7.8958,0,0,1,0
102,24,0,3688,7.8958,0,0,1,1
103,21,1,4058,77.2875,0,0,0,1
104,33,0,7663,8.6542,0,0,1,1
105,37,2,8119,7.925,0,0,1,1
106,28,0,1829,7.8958,0,0,1,1
107,21,0,1830,7.65,1,0,1,0
108,24,0,1320,7.775,1,0,1,1
109,38,0,6030,7.8958,0,0,1,1
